Kalimat,Formalitas
lagipula apa yg penting disini,0
lagipula penting apa sini,1
intinya wangsit bagian gw yg paling tinggi bayarannya,0
intinya buku wangsit jumlah aku bayar berjumlah paling tinggi,1
ah kau kimia mat komsel,0
Ah kamu kimia matematika sedang komsel,1
yg diionisasi cuma aq kan,0
terionisasi fase larutan,1
michelle punya temen saling lempar tugas enak gk,0
michelle memiliki teman saling melempar tugas enak,1
lu tinggal ksh tau mana aja yg lu kerjain jason,0
kamu tinggal memberi tahu bagian mana kamu kerjakan jason,1
nomor mgmp keluar yg kl gslh,0
nomor MGMP keluar kalau salah,1
jelasin scr singkat fpi sm dayak d kalimantan ad ap,0
jelaskan singkat apa FPI suku dayak kalimantan,1
jd kl org fpi dateng dirusuhin,0
jadi orang FPI datang dihalangi,1
kan mrk msh kepercayaannya native bgt msh kuat sama budaya asli ,0
Karena menganut agama kepercayaan kuat sekali berpegang budaya asli,1
kl lu tanya agama apa jawabnya ga jauh dr agama asli dayak lupa apa namanya tp msh byk yg anut,0
kamu bertanya apa agama jawabannya jauh agama asli Dayak lupa apa namanya penganutnya banyak,1
blok barat blok timur beda ideologi y,0
blok barat blok timur memiliki ideologi berbeda,1
iy tp ga perang frontal,0
iya berperang frontal,1
negara komunis kan tinggal tiga dunia,0
tersisa tiga negara komunis dunia,1
jd ud gk kepake ideologi komunis,0
jadi ideologi komunis terpakai,1
aneh y gw nanya gnian,0
aneh bertanya,1
smpe skrg msh gertakan ga,0
sekarang saling menggertak,1
gertaknya via teknologi nuklir dominasi pasar saham dunia,0
gertakannya dilakukan melalui teknologi nuklir dominasi pasar saham dunia,1
timur sama barat kl mau tau mana belah atlas lu turki,0
kamu mau mengetahui blok timur barat atlas milikmu dimulai turki,1
kekanan blok timur kekiri blok barat,0
sebelah kanan blok timur sebelah kiri blok barat,1
gua dikuliahin piramida ekologi mau mati cuk,0
dikuliahi piramida ekologi meninggal,1
warna cmyk d mata rgb gmn,0
bagaimana warna CMYK mata RGB,1
warna cmyk mata rgb abu putih,0
warna CMYK mata RGB abu-abu menuju putih,1
kt nico kls u pm bio ud skl,0
nico kelasmu PM biologi satu kali,1
bsk gw rmh lu,0
besok rumahmu,1
gw gk bs reaksi basa,0
reaksi basa,1
maju jd tumbal papan tulis,0
maju menjadi tumbal papan tulis,1
kls gw wkt br msk sel volta,0
kelas waktu baru sel volta,1
lelah menjadi alasan yg kuno jason,0
Kelelahan menjadi alasan kuno jason,1
kan tampang lu selalu lelah,0
tampang selalu lelah,1
gua mau tidur layak puas terganggu,0
mau tidur layak puas terganggu,1
yaudah tidur aja skrg,0
tidurlah sekarang,1
sabar lg tulis artikel medis,0
sabarlah sedang menulis artikel medis,1
kl bs gw jg mau tidur,0
mau tidur,1
nulis biar apa buat siapa,0
menulis apa siapa,1
mamah sugi,0
ibu sugi,1
kwkwkw bantu sebisa lu lah,0
hahaha bantu sebisamu,1
jadwal mepet bgt makanya gw jg ga enak minta tagih nilai ul ga bikin tugas,0
jadwalnya sangat sempit enak menagih nilai ulangan membuat tugas,1
jd hr doi ga masuk,0
hari masuk,1
tpi seneng klo remed,0
senang remedial,1
katanya mau nanya michelle apa,0
apa mau kamu tanyakan michelle,1
buku tulis ditilep lgi,0
buku tulis dicuri,1
dlm prakteknya dipake buat apa,0
prakteknya apa digunakan,1
yg biasa yg kt pake,0
biasa pakai,1
jgn bilang latihan redoks dr buku bailmu,0
jangan bilang latihan redoks buku bailmu,1
byk soal salah gue,0
banyak soal salah,1
ga selesai jawabnya jir,0
selesai menjawabnya,1
klo mw minta jwbn gw sebagian ad bbrp kasus gua ga ngerti ga dikasi nanya lg sm busugi,0
mau meminta jawaban sebagian beberapa kasus mengerti diberi kesempatan bertanya ibu sugi,1
nnt malem mungkin hamba mintanya,0
mungkin meminta malam,1
michelle mau cocokin jawaban gw ketiduran,0
michelle mau mencocokkan jawaban tertidur,1
 mata gw udah perbatasan,0
mata ambang batas,1
jgn terlalu pede sm jawabanmu nak,0
jangan terlalu percaya diri jawabanmu nak,1
hehehe nasihat dr org yg meragukan segalanya,0
hahaha nasihat orang meragukan segalanya,1
oke michelle gw congkel mata lu,0
oke michelle congkel matamu,1
masa transisi masa kekuasaan dipindahin,0
masa transisi merupakan masa perpindahan kekuasaan,1
tuh kan firasat gw bener,0
nah firasatku benar,1
aja yg salah,0
salah,1
ulangan praktek remed,0
ulangan praktek remedial,1
syarat remed blm kerjakan,0
syarat remedial dikerjakan,1
michelle bawa ulangan fisika yg pertama dong,0
michelle bawa ulangan fisika pertama,1
kerjakan soal ulangan dgn benar,0
kerjakanlah soal ulangan benar,1
kertas ul nya kumpul,0
kertas ulangan tersebut dikumpulkan,1
smpe skrg ga balik lg,0
sekarang,1
